6	8	9	11	18	13	4	15	4
12	10	20	13	19	2	4	6	2
15	4	9	10	12	20	6	19	3
10	11	18	20	16	19	13	9	2
2	13	3	16	18	17	6	20	1
6	11	3	13	2	14	19	15	1
1	7	11	19	17	6	18	8	2
19	13	17	3	16	12	1	11	3
11	5	12	6	19	1	18	4	4
3	17	14	6	2	12	7	4	1
4	15	11	12	6	19	17	13	3
7	17	16	8	1	19	6	20	3
9	1	18	14	13	17	19	8	2
4	5	19	1	20	15	6	2	2
9	8	16	15	17	18	10	1	4
16	13	18	5	12	3	8	7	2
9	19	4	12	1	14	15	16	1
3	6	14	15	11	12	20	13	4
10	17	1	7	16	12	4	15	1
18	17	16	19	13	9	20	10	3
9	19	16	5	1	10	18	13	4
13	9	20	19	12	2	18	5	2
5	4	7	20	2	1	18	13	2
8	4	19	9	20	2	12	14	4
11	14	2	16	19	4	3	12	4
10	17	1	15	2	14	4	9	4
14	9	7	5	13	16	6	19	1
4	6	2	7	12	8	18	15	1
4	8	19	17	15	2	20	12	2
4	2	7	17	6	14	3	18	1
16	11	3	1	20	2	15	18	1
1	19	3	13	12	6	17	18	3
3	11	1	19	20	18	12	13	3
13	7	8	5	4	17	14	12	1
2	4	10	13	3	7	12	5	4
17	6	19	1	13	5	20	9	2
20	13	7	4	3	16	8	6	2
20	14	5	3	18	2	9	8	4
11	5	17	16	8	10	18	6	2
4	8	5	18	7	20	10	9	4
15	1	2	17	19	9	11	18	2
19	7	14	16	13	12	2	3	3
4	11	14	8	2	17	15	9	1
13	10	18	5	11	6	19	17	3
4	17	10	3	19	8	15	14	1
4	10	12	1	7	16	19	9	3
18	19	6	3	17	7	9	20	1
6	12	5	8	16	1	14	10	4
17	12	18	14	16	8	11	4	3
4	2	3	6	17	15	9	16	4
7	12	13	6	17	1	14	20	2
9	20	14	13	18	10	4	16	4
4	3	13	17	20	10	1	12	1
1	15	18	5	13	6	3	2	1
9	14	20	18	16	13	15	8	2
8	5	6	9	14	17	16	12	3
11	15	8	3	5	9	2	1	4
11	17	2	13	4	6	9	19	4
3	18	19	4	12	11	17	7	1
14	9	15	13	19	7	3	8	2
4	19	18	5	3	17	8	9	2
5	17	9	11	8	20	18	15	2
8	6	15	11	20	9	3	4	3
12	4	18	8	11	14	9	13	2
8	9	11	4	12	19	20	17	4
16	1	12	15	7	3	8	6	2
1	14	2	12	5	18	7	11	2
13	3	14	7	8	19	18	15	1
16	5	4	11	9	20	17	12	2
15	11	5	1	19	16	6	10	2
17	1	9	13	6	11	2	3	1
7	2	5	17	10	16	19	20	3
6	11	3	15	8	4	7	17	3
10	12	9	18	8	20	3	16	4
16	20	13	17	6	2	18	3	4
8	20	17	1	4	7	19	9	4
9	3	1	2	5	11	4	17	3
18	17	8	19	6	10	2	14	3
4	16	20	17	13	8	5	10	2
18	17	15	4	9	2	11	8	3
10	7	18	16	17	19	15	2	4
16	14	1	4	3	6	15	11	3
8	5	15	6	1	14	11	9	3
4	5	14	20	12	18	10	13	3
10	3	16	9	19	2	7	5	1
12	13	4	20	19	8	18	16	3
17	16	20	6	5	12	9	3	3
12	2	7	5	4	11	19	15	1
4	2	8	7	6	20	10	13	1
6	16	19	10	17	11	9	8	2
14	5	3	15	19	16	7	10	4
11	17	2	19	8	14	12	5	4
11	9	5	19	13	4	1	3	3
17	8	6	9	19	12	3	5	3
7	4	3	5	8	20	10	17	2
20	17	2	15	12	6	11	7	4
7	5	18	10	12	17	13	11	1
11	8	9	3	14	12	4	7	2
15	9	18	19	11	13	17	20	2
11	5	3	14	16	2	7	13	4
20	14	8	12	18	5	2	17	3
17	14	12	1	18	15	4	16	4
8	2	5	1	9	15	13	12	2
13	8	3	15	7	6	14	12	4
4	9	15	5	11	2	16	6	1
17	5	11	6	20	12	19	1	1
20	12	14	9	4	10	5	17	1
10	15	20	19	6	2	3	13	1
14	7	16	15	1	6	8	10	2
1	8	11	5	10	18	13	19	4
1	5	14	15	3	10	8	11	3
10	1	13	20	4	11	7	2	2
17	15	1	16	18	7	9	13	1
20	12	10	14	5	19	16	11	4
17	5	19	12	20	3	2	7	2
16	13	2	4	17	11	5	3	2
8	15	18	19	7	2	5	6	1
12	16	1	3	19	20	2	5	2
15	2	9	13	3	8	7	11	1
16	6	9	14	2	20	12	3	2
11	16	7	18	17	3	14	4	2
6	9	2	15	7	5	14	18	4
1	18	10	15	4	19	17	5	4
4	18	5	7	20	12	15	2	2
5	1	19	4	2	14	12	16	4
12	10	18	20	1	11	2	16	2
17	2	7	9	1	12	11	16	4
15	11	13	1	9	18	7	16	1
5	2	1	17	6	4	18	10	4
17	11	20	18	3	9	2	5	4
14	10	1	3	13	16	6	7	3
5	14	10	16	1	15	13	20	2
10	1	15	3	16	12	6	14	2
2	12	16	11	1	7	13	4	2
17	10	5	18	6	3	2	14	1
13	10	4	3	1	11	20	14	3
4	3	1	6	5	18	16	13	2
16	13	10	1	18	8	12	3	4
3	20	6	13	16	4	14	17	2
14	18	6	5	16	1	20	15	4
4	17	20	9	11	12	15	19	2
13	14	17	16	5	11	18	19	4
18	2	20	4	8	1	19	10	2
18	20	12	4	15	19	5	11	2
4	3	7	18	2	19	11	14	3
9	19	18	11	7	10	17	8	2
7	2	6	14	11	13	5	20	2
15	6	2	12	10	7	4	8	3
